category,sub_category,search_url_format,n_pages
sofa,corner_sofa,https://www.johnlewis.com/furniture-lights/sofas/corner-sofa?display=product&page={},2
sofa,sofa_bed,https://www.johnlewis.com/furniture-lights/sofas/sofa-bed?display=product&page={},1
sofa,chaise,https://www.johnlewis.com/furniture-lights/sofas/chaise?display=product&page={},2
sofa,sofa,https://www.johnlewis.com/furniture-lights/sofas/sofa?display=product&page={},12
bed,bed,https://www.johnlewis.com/browse/furniture-lights/bedroom/beds/_/N-c7o?page={},2
table,coffee_table,https://www.johnlewis.com/browse/furniture-lights/living-room/coffee-tables/_/N-c4w?page={},1
table,side_table,https://www.johnlewis.com/browse/furniture-lights/living-room/side-tables/_/N-7hg4?page={},1
table,nest_of_tables,https://www.johnlewis.com/browse/furniture-lights/living-room/nest-of-tables/_/N-7hg2?page={},1
table,console_table,https://www.johnlewis.com/browse/furniture-lights/living-room/console-tables/_/N-c4x?page={},1
table,dining_table,https://www.johnlewis.com/browse/furniture-lights/dining-room/dining-tables/_/N-dok?page={},1
table,office_desk,https://www.johnlewis.com/browse/furniture-lights/home-office/office-desks/_/N-c6c?page={},1
table,dressing_table,https://www.johnlewis.com/browse/furniture-lights/bedroom/dressing-tables/_/N-2r8j?page={},1
table,bedside_cabinets_table,https://www.johnlewis.com/browse/furniture-lights/bedroom/bedside-cabinets-tables/_/N-c3e?page={},1
chair,armchair,https://www.johnlewis.com/furniture-lights/sofas/armchair?display=product&page={},5
chair,office_chair,https://www.johnlewis.com/browse/furniture-lights/home-office/office-chairs/_/N-c6b?page={},1
chair,dining_chair,https://www.johnlewis.com/browse/furniture-lights/dining-room/dining-chairs/_/N-c49?page={},1
chair,bar_chair_stool,https://www.johnlewis.com/browse/furniture-lights/kitchen/bar-chairs-stools/_/N-c45?page={},1
lighting,ceiling_lighting,https://www.johnlewis.com/browse/furniture-lights/ceiling-lighting/_/N-7cq4?page={},3
lighting,desk_table_lamp,https://www.johnlewis.com/browse/furniture-lights/desk-table-lamps/_/N-cjw?page={},2
lighting,floor_lamp,https://www.johnlewis.com/browse/furniture-lights/floor-lamps/_/N-cjd?page={},1
lighting,ceiling_lamp_shade,https://www.johnlewis.com/browse/furniture-lights/ceiling-lamp-shades/_/N-cj9?page={},1
lighting,wall_lighting,https://www.johnlewis.com/browse/furniture-lights/wall-lighting/_/N-7f5e?page={},1
